case,weights,metric,threshold,accuracy,precision,recall,f1,auc,auc_pr
karate_graph,,default,0.5,0.8666666666666667,1.0,0.21212121212121213,0.35,0.6060606060606061,0.5415440558375146
karate_graph,,tpr-fpr,0.25391339254916445,0.8358974358974359,0.5172413793103449,0.45454545454545453,0.4838709677419355,0.6840628507295174,0.5415440558375146
karate_graph,,f-score,0.35929204961893435,0.8871794871794871,1.0,0.3333333333333333,0.5,0.6666666666666666,0.5415440558375146
karate_graph,balanced,default,0.5,0.7846153846153846,0.3902439024390244,0.48484848484848486,0.4324324324324324,0.6652637485970818,0.5483203656951674
karate_graph,balanced,tpr-fpr,0.47935895494459096,0.7589743589743589,0.36538461538461536,0.5757575757575758,0.4470588235294118,0.686026936026936,0.5483203656951674
karate_graph,balanced,f-score,0.6520128443133247,0.8871794871794871,1.0,0.3333333333333333,0.5,0.6666666666666666,0.5483203656951674
karate_graph,balanced,default,0.5,0.7846153846153846,0.3902439024390244,0.48484848484848486,0.4324324324324324,0.6652637485970818,0.5483203656951674
karate_graph,balanced,tpr-fpr,0.47935895494459096,0.7589743589743589,0.36538461538461536,0.5757575757575758,0.4470588235294118,0.686026936026936,0.5483203656951674
karate_graph,balanced,f-score,0.6520128443133247,0.8871794871794871,1.0,0.3333333333333333,0.5,0.6666666666666666,0.5483203656951674
dolphin,balanced,default,0.5,0.755868544600939,0.33064516129032256,0.6612903225806451,0.4408602150537634,0.7166341722793336,0.5210287317850218
dolphin,balanced,tpr-fpr,0.5087522439320872,0.7863849765258216,0.3644859813084112,0.6290322580645161,0.4615384615384615,0.7211095356256646,0.5210287317850218
dolphin,balanced,f-score,0.5288166537402967,0.8098591549295775,0.39325842696629215,0.5645161290322581,0.46357615894039744,0.7080822403403049,0.5210287317850218
footbal,balanced,default,0.5,0.6694915254237288,0.5450643776824035,0.7175141242937854,0.6195121951219512,0.6790960451977401,0.6987563704441042
footbal,balanced,tpr-fpr,0.507527928408765,0.7266949152542372,0.6348314606741573,0.6384180790960452,0.6366197183098591,0.7090395480225988,0.6987563704441042
footbal,balanced,f-score,0.47670198228184363,0.6377118644067796,0.5100671140939598,0.8587570621468926,0.64,0.6819209039548023,0.6987563704441042
barabasi_1,balanced,default,0.5,0.6350958744915747,0.6921241050119332,0.36755386565272496,0.48013245033112584,0.6145709242426716,0.6765941742956527
barabasi_1,balanced,tpr-fpr,0.49750551204704213,0.6426496223126089,0.6754032258064516,0.42458808618504434,0.5214007782101168,0.6259206525345823,0.6765941742956527
barabasi_1,balanced,f-score,0.4678014134726433,0.4590354445090064,0.45872093023255817,1.0,0.6289358310083699,0.5005364806866952,0.6765941742956527
barabasi_2,balanced,default,0.5,0.6306918982850385,0.6941309255079007,0.3860640301318267,0.4961678096006454,0.6172913778384119,0.6776898062462146
barabasi_2,balanced,tpr-fpr,0.49491886057015594,0.6312832643406269,0.6225212464589235,0.551789077212806,0.5850249584026621,0.6269286358674426,0.6776898062462146
barabasi_2,balanced,f-score,0.4820372559116769,0.47516262566528683,0.4728520286396181,0.9949780288763339,0.641051567239636,0.5036377008551597,0.6776898062462146
watts_strogatz_graph_1,balanced,default,0.5,0.8067741935483871,0.42857142857142855,0.7051546391752578,0.5331254871395167,0.7653880270446078,0.5804382385682594
watts_strogatz_graph_1,balanced,tpr-fpr,0.49589557498224773,0.7767741935483871,0.3931888544891641,0.7855670103092783,0.5240715268225585,0.7803552068754804,0.5804382385682594
watts_strogatz_graph_1,balanced,f-score,0.5065377557153713,0.8458064516129032,0.5058043117744611,0.6288659793814433,0.5606617647058824,0.7574540221955017,0.5804382385682594
watts_strogatz_graph_2,balanced,default,0.5,0.808648111332008,0.46554823247453564,0.7471153846153846,0.5736434108527131,0.7842862751739853,0.5782526466141418
watts_strogatz_graph_2,balanced,tpr-fpr,0.4981894122050543,0.7816434724983433,0.4289366053169734,0.8067307692307693,0.5600801068090788,0.7915759530701484,0.5782526466141418
watts_strogatz_graph_2,balanced,f-score,0.5051031604261784,0.8414512922465208,0.5328582739509106,0.6471153846153846,0.5844550586191923,0.7645104545174601,0.5782526466141418
facebook,balanced,default,0.5,0.6942124398152697,0.9987487487487487,0.5622710622710623,0.7194880115377681,0.7803235792030856,0.9782460025186098
facebook,balanced,tpr-fpr,0.46155517895352344,0.867937506141299,0.9569567979669632,0.8488306565229642,0.899656562639988,0.8804075335229306,0.9782460025186098
facebook,balanced,f-score,0.4548833347819159,0.8780583669057679,0.9178199457839921,0.9063116370808678,0.9120294889062168,0.8596189559227009,0.9782460025186098
soc_anybeat,balanced,default,0.5,0.909358446144791,0.886576482830385,0.2938944463608141,0.44145077720207254,0.6443379446818194,0.5813468763327467
soc_anybeat,balanced,tpr-fpr,0.4988168903480693,0.7978222483814008,0.3342013888888889,0.6640220765781304,0.444624090541633,0.7402075241415094,0.5813468763327467
soc_anybeat,balanced,f-score,0.4992317019260011,0.9040191709408896,0.6589267285861713,0.44049672300793374,0.5280132313417407,0.7044251221684951,0.5813468763327467
,balanced,default,0.5,0.8098435819926558,0.7216690374585112,0.5417141230068337,0.618875289716586,0.7292175869978413,0.6814405906394414
,balanced,tpr-fpr,0.43340781019657404,0.789495039662413,0.5898150865864397,0.8582716400911162,0.6991591765729197,0.810176026611401,0.6814405906394414
,balanced,f-score,0.4392922620506895,0.8048122375281491,0.6203708738920006,0.8120728929384966,0.7033942719733637,0.8069955021682522,0.6814405906394414
