graph,community,sources,nodes,detected,difference,sources_ratio,nmi,modularity,pcov,pper
watts_strogatz_graph_2,louvain,2,111,9,-7,2,0.2309704675406347,0.6806098090277778,0.8229166666666666,0.9004095004095004
watts_strogatz_graph_2,belief,2,111,6,-4,2,0.1625878459171046,0.6644422743055556,0.8489583333333334,0.8422604422604423
watts_strogatz_graph_2,leiden,2,111,8,-6,2,0.22452054060034968,0.6842854817708334,0.828125,0.8968058968058968
watts_strogatz_graph_2,label_propagation,2,111,24,-22,2,0.18718424449199136,0.5602756076388887,0.6666666666666666,0.9379197379197379
watts_strogatz_graph_2,greedy_modularity,2,111,9,-7,2,0.2484737765868705,0.6747097439236112,0.8125,0.9023751023751023
watts_strogatz_graph_2,eigenvector,2,111,11,-9,1,0.21323440947776862,0.6300455729166666,0.8020833333333334,0.8868140868140868
watts_strogatz_graph_2,ga,2,111,24,-22,2,0.23668106020043625,0.5555148654513887,0.640625,0.9551187551187551
watts_strogatz_graph_2,infomap,2,111,13,-11,2,0.24682967986847063,0.6680908203125001,0.7864583333333334,0.9333333333333333
watts_strogatz_graph_2,kcut,2,111,6,-4,1,0.07070292131010801,0.00398763020833337,0.9427083333333334,0.1162981162981163
watts_strogatz_graph_2,markov_clustering,2,111,31,-29,2,0.23657549335037864,0.5462646484374999,0.6041666666666666,0.9670761670761671
watts_strogatz_graph_2,paris,2,111,6,-4,2,0.22865365150661507,0.6591254340277777,0.875,0.8332514332514332
watts_strogatz_graph_2,spinglass,2,111,10,-8,2,0.24566418753552707,0.6841634114583333,0.8125,0.9203931203931204
watts_strogatz_graph_2,surprise_communities,2,111,21,-19,2,0.23629602059477414,0.6286621093749998,0.7083333333333334,0.9652743652743653
watts_strogatz_graph_2,walktrap,2,111,13,-11,2,0.21057777613701156,0.6553819444444444,0.796875,0.9105651105651106
watts_strogatz_graph_2,spectral,2,111,2,0,2,0.2743943264636628,0.27993435329861116,0.953125,0.32661752661752663
watts_strogatz_graph_2,sbm_dl,2,111,3,-1,2,0.19211374200315187,0.47199164496527785,0.90625,0.4914004914004914
watts_strogatz_graph_2,louvain,10,441,18,-8,9,0.28613570969505814,0.5778916030158712,0.6409849086576648,0.943939393939394
watts_strogatz_graph_2,belief,10,441,7,3,5,0.18093582021774593,0.5415199601786912,0.6854646544876887,0.8626777983920841
watts_strogatz_graph_2,leiden,10,441,17,-7,8,0.3030241362559755,0.5814207602008982,0.6465448768864178,0.9414965986394558
watts_strogatz_graph_2,label_propagation,10,441,54,-44,9,0.3698489640450868,0.4889387356229745,0.5289912629070691,0.966295609152752
watts_strogatz_graph_2,greedy_modularity,10,441,14,-4,8,0.26393410457259003,0.5609707011818322,0.6576648133439238,0.9106679035250463
watts_strogatz_graph_2,eigenvector,10,441,15,-5,8,0.22474033989504477,0.4489272157069576,0.5297855440826053,0.922211915069058
watts_strogatz_graph_2,infomap,10,441,43,-33,10,0.3833361978385861,0.541259721112044,0.5687053216838761,0.9787775716347145
watts_strogatz_graph_2,kcut,10,441,7,3,1,0.026563254623487985,0.0030200349382775247,0.9801429706115965,0.03951762523191095
watts_strogatz_graph_2,markov_clustering,10,441,181,-171,10,0.4966864730844746,0.3308212640237328,0.34074662430500396,0.9892290249433107
watts_strogatz_graph_2,paris,10,441,4,6,4,0.11645811910967807,0.4555883894892437,0.7259729944400317,0.7344052772624201
watts_strogatz_graph_2,spinglass,10,441,20,-10,10,0.3116810899180454,0.5794457822660166,0.6330420969023034,0.9521438878581736
watts_strogatz_graph_2,surprise_communities,10,441,67,-57,10,0.43863585435418484,0.5179940331125034,0.5393169181890389,0.9854153782725211
watts_strogatz_graph_2,walktrap,10,441,52,-42,8,0.3947308810509168,0.5109559069851951,0.5504368546465449,0.9700061842918986
watts_strogatz_graph_2,sbm_dl,10,441,3,7,2,0.10452290855667282,0.19846777546384053,0.8967434471803019,0.27622139764996906
watts_strogatz_graph_2,louvain,100,885,22,78,22,0.46580591665280247,0.5482361513328879,0.5972636815920398,0.9539560804765191
watts_strogatz_graph_2,leiden,100,885,20,80,20,0.4546017515049157,0.5507916264448901,0.6037313432835821,0.9501776721118695
watts_strogatz_graph_2,label_propagation,100,885,49,51,33,0.4893170155319765,0.4418511608623549,0.5106965174129353,0.9310095354960759
watts_strogatz_graph_2,greedy_modularity,100,885,11,89,9,0.29605158479205546,0.48436007153288274,0.6375621890547264,0.8532044890968121
watts_strogatz_graph_2,eigenvector,100,885,17,83,17,0.38749792250340287,0.38318194475384276,0.458955223880597,0.9242835595776773
watts_strogatz_graph_2,infomap,100,885,55,45,46,0.591911581808882,0.5204351377441152,0.5407960199004975,0.9819873712196743
watts_strogatz_graph_2,kcut,100,885,8,92,1,0.01595755858608984,0.0024172050196776575,0.9868159203980099,0.025771403737505433
watts_strogatz_graph_2,markov_clustering,100,885,387,-287,97,0.7375837407782029,0.24363171703670686,0.24825870646766168,0.9912927883017614
watts_strogatz_graph_2,paris,100,885,36,64,34,0.512892752812757,0.46889096185737966,0.49850746268656715,0.9715852442671984
watts_strogatz_graph_2,spinglass,100,885,23,77,21,0.4712777222222492,0.5444764671666542,0.5912935323383085,0.9562773218805123
watts_strogatz_graph_2,surprise_communities,100,885,80,20,57,0.637744606168761,0.49134755327838425,0.5054726368159204,0.9875092670705832
watts_strogatz_graph_2,walktrap,100,885,33,67,29,0.4802886411712499,0.5129369013143238,0.5723880597014925,0.9432701894317049
watts_strogatz_graph_2,sbm_dl,100,885,28,72,27,0.49655484194145316,0.5412084787505258,0.5800995024875621,0.963795792110847
